SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0032756,56,99999,56-99999,08,216,08-216,4931,2,43,05,6120,13180,56,74,Y,N,N,N,251.7
0032757,26,220,26-220,26,220,26-220,212,4,12,06,174,117774,7,7,N,N,N,N,189.5
0032758,29,312,29-312,08,216,08-216,4237,4,33,14,210,14,557,605,N,N,N,N,404.5
0032759,39,99999,39-99999,26,220,26-220,322,1,28,05,779,957,29,37,N,N,N,N,358.6
0032760,18,99999,18-99999,18,99999,18-99999,4248,2,08,05,155,168,5,6,N,N,N,N,267.3
0032761,13,122,13-122,37,172,37-172,4541,4,40,14,65,10,170,184,N,N,N,N,23628.8
0032762,04,38060,04-38060,04,38060,04-38060,333,1,33,05,3574,1989,3,3,N,N,N,N,33.3
0032763,40,99999,40-99999,17,176,17-176,326,3,24,04,3351,3191,578,689,N,N,N,N,69.2
0032764,17,176,17-176,17,176,17-176,4238,3,43,04,524,712,43,56,N,N,N,N,1841.9
0032765,33,148,33-148,01,99999,01-99999,332,2,40,04,3867,416,1102,1315,N,N,N,N,115.5
0032766,48,288,48-288,48,288,48-288,327,2,31,04,7140,38352,3,3,N,N,N,N,219.4
0032767,01,99999,01-99999,45,16700,45-16700,4244,1,43,05,10505,16442,334,368,Y,N,N,N,111.0
0032768,04,536,04-536,46,99999,46-99999,4242,1,07,14,755,19,1099,1615,Y,N,N,N,101.7
0032769,33,148,33-148,17,176,17-176,335,3,35,11,7144,252,818,1705,N,Y,O,N,51.7
0032770,48,206,48-206,48,206,48-206,323,4,29,05,358,18,9,11,N,N,N,N,1330.2
0032771,37,268,37-268,37,268,37-268,4236,1,35,05,3,1,6,9,N,N,N,N,1432.8
0032772,48,288,48-288,48,288,48-288,311,4,06,05,171,758,22,27,N,N,N,N,3120.6
0032773,17,476,17-476,17,476,17-476,327,2,31,05,390,20206,4,6,N,N,N,N,207.7
0032774,34,408,34-408,12,370,12-370,325,4,23,11,1534,1096,1111,1132,N,N,N,N,199.1
0032775,47,368,47-368,29,99999,29-99999,4931,3,43,04,18443,6537,151,178,N,N,N,N,70.2
0032776,48,41700,48-41700,48,41700,48-41700,339,3,38,04,104,3,4,8,N,N,N,N,394.1
0032777,37,450,37-450,01,99999,01-99999,336,3,36,15,213813,33992,494,615,N,N,N,N,60.9
0032778,01,99999,01-99999,45,99999,45-99999,327,3,40,04,16258,18580,381,485,N,N,N,N,39.6
0032779,06,488,06-488,42,99999,42-99999,333,3,33,04,8500,2510,2402,2805,N,N,N,N,52.8
0032780,37,99999,37-99999,37,99999,37-99999,327,3,31,05,1178,39448,8,8,N,N,N,N,1916.5
0032781,37,268,37-268,37,268,37-268,212,3,12,04,260,34650,16,16,N,N,N,N,936.3
0032782,06,488,06-488,06,99999,06-99999,325,1,22,04,782,4471,19,24,N,N,N,N,192.4
0032783,55,99999,55-99999,20,99999,20-99999,332,4,40,04,33547,6601,565,775,N,N,N,N,15.3
0032784,51,99999,51-99999,36,408,36-408,332,3,33,04,133192,37037,247,296,N,N,N,N,24.6
0032785,39,99999,39-99999,21,178,21-178,212,3,12,04,135,44795,22,30,N,N,N,N,757.0
0032786,26,220,26-220,26,220,26-220,4231,2,36,04,17649,19710,10,15,N,N,N,N,201.3
0032787,42,430,42-430,18,258,18-258,4238,4,36,05,13,1,260,328,N,N,N,N,4598.6
0032788,37,172,37-172,37,172,37-172,4931,2,43,05,21516,36169,48,62,Y,N,N,N,148.9
0032789,42,428,42-428,42,408,42-408,4241,3,24,04,13696,7356,31,46,N,N,N,N,86.9
0032790,23,99999,23-99999,09,25540,09-25540,323,4,29,14,1773,105,181,202,N,N,N,N,67.2
0032791,18,99999,18-99999,17,99999,17-99999,325,1,21,04,159897,1899,302,367,N,N,N,N,73.3
0032792,06,348,06-348,12,99999,12-99999,4243,3,30,04,4124,769,2110,2395,N,N,N,N,48.6
